round,team_name,group_name,group_type,group_code,village,union,union_code,upazila,upazila_code,district,district_code,ward,female_producers_involved,male_producers_involved,female_producers_present,male_producers_present,female_producers_dropout,male_producers_dropout,evaluation_date,facilitator,development_plan,rules_regulation,leadership_process,learning_sharing_space,services,cow_shed_mgmt,feed_mgmt,health_mgmt,breed_dvmt,milk_mgmt,milk_marketing,info_mgmt,gender_equity,total
1.0,Shahjadpur,Char Naruya Modhopara,1.0,88678707012.0,Char Narua,Habibullah Nagar,NA,Shahjadpur,NA,Sirajganj,NA,NA,13.0,14.0,13.0,14.0,0.0,0.0,41948.000000,Baha Uddin,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,30.0
1.0,Shahjadpur,Char Naruya Poschimpara,1.0,88678707013.0,Char Narua,Habibullah Nagar,NA,Shahjadpur,NA,Sirajganj,NA,NA,14.0,11.0,14.0,11.0,0.0,0.0,41948.000000,Baha Uddin,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,31.0
1.0,Shahjadpur,Batia Doskhinpara,1.0,88675806024.0,Batia,Narina,NA,Shahjadpur,NA,Sirajganj,NA,NA,6.0,31.0,6.0,31.0,0.0,0.0,14/05/2014,Baha Uddin,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,27.0
1.0,Shahjadpur,Char Naruya Uttarpara,1.0,88678707011.0,Char Narua,Habibullah Nagar,NA,Shahjadpur,NA,Sirajganj,NA,NA,13.0,22.0,13.0,22.0,0.0,0.0,15/05/2014,Baha Uddin,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,30.0
1.0,Shahjadpur,Batia Charpara,1.0,88675806025.0,Batia,Narina,NA,Shahjadpur,NA,Sirajganj,NA,NA,6.0,24.0,6.0,24.0,0.0,0.0,15/05/2014,Baha Uddin,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,30.0
1.0,Shahjadpur,Basamara Uttarpara,1.0,88675806011.0,Basamara,Narina,NA,Shahjadpur,NA,Sirajganj,NA,NA,0.0,30.0,0.0,30.0,0.0,0.0,16/05/2014,Baha Uddin,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,28.0
1.0,Shahjadpur,Basamara Doskhinpara,1.0,88675806012.0,Basamara,Narina,NA,Shahjadpur,NA,Sirajganj,NA,NA,1.0,28.0,1.0,28.0,0.0,0.0,16/05/2014,Baha Uddin,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,30.0
1.0,Shahjadpur,Uttar Hazipara,2.0,88942109012.0,Chaksha,Boropangashi,NA,Ullahpara,NA,Sirajganj,NA,NA,33.0,1.0,33.0,1.0,0.0,0.0,20/05/2014,R. Khatoon,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,25.0
1.0,Shahjadpur,Moddohpara,2.0,88942109013.0,Chaksha,Boropangashi,NA,Ullahpara,NA,Sirajganj,NA,NA,29.0,2.0,29.0,2.0,0.0,0.0,20/05/2014,R. Khatoon,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,25.0
1.0,Shahjadpur,Uttar Charpara,2.0,88944309022.0,Charbordongasa,Mohonpur,NA,Ullahpara,NA,Sirajganj,NA,NA,31.0,2.0,31.0,2.0,0.0,0.0,21/05/2014,R. Khatoon,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,21.0
1.0,Shahjadpur,Sarkarpara,2.0,88944302014.0,Koibortogati,Mohonpur,NA,Ullahpara,NA,Sirajganj,NA,NA,30.0,0.0,30.0,0.0,0.0,0.0,15/05/2014,R. Abbace,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,26.0
1.0,Shahjadpur,Doskhinpara,2.0,88944302011.0,Koibortogati,Mohonpur,NA,Ullahpara,NA,Sirajganj,NA,NA,30.0,1.0,30.0,1.0,0.0,0.0,22/05/2014,R. Abbace,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,25.0
